,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic__C,param_logistic__penalty,param_preprocessor__num__pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.01533365249633789,0.004318282268575673,0.9889124393463135,0.9050596002727438,1000.0,l1,2,"{'logistic__C': 1000.0, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 2}",0.09259095771609568,0.06652668056872937,0.07299317582286964,0.07742718301192081,0.0986138956848397,0.08163037856089103,0.012074468653451877,70,0.1100234243264773,0.11693702478240986,0.11213615748928205,0.12124216831711931,0.12470762367599342,0.11700927971825639,0.00547241376672373
1,0.015851736068725586,0.004620259844591098,0.5363967895507813,0.023222649740269694,1000.0,l1,3,"{'logistic__C': 1000.0, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 3}",0.09259095771609568,0.0739468261946836,0.06732957158949344,0.07915363024266783,0.08975000983135721,0.08055419911485956,0.009486371652162729,88,0.1104556184330677,0.11854478246924156,0.11802079089460213,0.12491742531449683,0.12995245815478942,0.12037821505323953,0.006627931927138622
2,0.015376758575439454,0.00044505055063524053,0.5251891613006592,0.019615095418381533,1000.0,l1,4,"{'logistic__C': 1000.0, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 4}",0.09244744479163633,0.07951175516062434,0.07493966528361401,0.07195698260507499,0.09324562864887384,0.08242029529796471,0.008850219350706016,61,0.11921239155391582,0.11557999523915975,0.11671394862847138,0.12654137696789797,0.13027701337757763,0.12166494515340451,0.005753282672463582
3,0.015596389770507812,0.0005829834965301779,0.5491668701171875,0.029306362122652904,1000.0,l1,5,"{'logistic__C': 1000.0, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 5}",0.09249481301791213,0.07779263100898293,0.08233452138040659,0.08197961710059341,0.10249192801236504,0.08741870210405203,0.00895614677554705,21,0.1183819188179856,0.11940037299784316,0.11841761059411511,0.12974749483606862,0.12177079753826572,0.12154363895685565,0.004282918837434629
4,0.015030860900878906,0.0005257789739055273,0.553554630279541,0.03986351431339303,1000.0,l2,2,"{'logistic__C': 1000.0, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 2}",0.09259095771609568,0.06652668056872937,0.07299317582286964,0.07742718301192081,0.0986138956848397,0.08163037856089103,0.012074468653451877,70,0.1100234243264773,0.11693702478240986,0.11213615748928205,0.12124216831711931,0.12470762367599342,0.11700927971825639,0.00547241376672373
5,0.016080427169799804,0.0023507976454411436,0.573026466369629,0.05450264152273884,1000.0,l2,3,"{'logistic__C': 1000.0, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 3}",0.09259095771609568,0.0739468261946836,0.06732957158949344,0.07915363024266783,0.08975000983135721,0.08055419911485956,0.009486371652162729,88,0.11003376623078855,0.11854478246924156,0.11802079089460213,0.12491742531449683,0.12955702852947132,0.12021475868772007,0.006643011393251016
6,0.01713242530822754,0.0015806554808930017,0.5615005016326904,0.014787381063770333,1000.0,l2,4,"{'logistic__C': 1000.0, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 4}",0.09244744479163633,0.07951175516062434,0.07493966528361401,0.07195698260507499,0.09324562864887384,0.08242029529796471,0.008850219350706016,61,0.11921239155391582,0.11557999523915975,0.11671394862847138,0.12654137696789797,0.13027701337757763,0.12166494515340451,0.005753282672463582
7,0.016754865646362305,0.0013855003805130367,0.5633781909942627,0.04273574555968063,1000.0,l2,5,"{'logistic__C': 1000.0, 'logistic__penalty': 'l2', 'preprocessor__num__pca__n_components': 5}",0.09249481301791213,0.07779263100898293,0.08233452138040659,0.08197961710059341,0.10249192801236504,0.08741870210405203,0.00895614677554705,21,0.1183819188179856,0.11940037299784316,0.11841761059411511,0.12974749483606862,0.12177079753826572,0.12154363895685565,0.004282918837434629
8,0.01429743766784668,0.0007131182425557033,0.5286576271057128,0.01459801837739125,428.13323987193957,l1,2,"{'logistic__C': 428.13323987193957, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 2}",0.09259095771609568,0.06652668056872937,0.07299317582286964,0.07742718301192081,0.0986138956848397,0.08163037856089103,0.012074468653451877,70,0.1100234243264773,0.11693702478240986,0.11213615748928205,0.12124216831711931,0.12470762367599342,0.11700927971825639,0.00547241376672373
9,0.014901351928710938,0.00021112497070996145,0.5319261074066162,0.013596047128931253,428.13323987193957,l1,3,"{'logistic__C': 428.13323987193957, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 3}",0.09259095771609568,0.0739468261946836,0.06732957158949344,0.07915363024266783,0.08975000983135721,0.08055419911485956,0.009486371652162729,88,0.11003376623078855,0.11854478246924156,0.11802079089460213,0.12491742531449683,0.12955702852947132,0.12021475868772007,0.006643011393251016
10,0.016276836395263672,0.001478982684886253,0.524786901473999,0.01510784604965244,428.13323987193957,l1,4,"{'logistic__C': 428.13323987193957, 'logistic__penalty': 'l1', 'preprocessor__num__pca__n_components': 4}",0.09244744479163633,0.07951175516062434,0.07493966528361401,0.07195698260507499,0.09324562864887384,0.08242029529796471,0.008850219350706016,61,0.11879273163628984,0.11557999523915975,0.11671394862847138,0.12654137696789797,0.13027701337757763,0.1215810131698793,0.0057913845665192604
