,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic__C,param_logistic__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.011662721633911133,0.0003106173027879964,0.977615213394165,0.7882508055057028,1000.0,l1,"{'logistic__C': 1000.0, 'logistic__penalty': 'l1'}",0.1047547732120903,0.06544757523526076,0.11627902261554476,0.07980742428552663,0.10681745715442345,0.09462125050056917,0.01892642389828463,5,0.1235448460648882,0.12451422875553383,0.1252410259334188,0.1204715435791497,0.1419348813390078,0.12714130513439967,0.007573410398310463
1,0.008075332641601563,0.0004075897536272296,0.5899242401123047,0.024765954677925143,1000.0,l2,"{'logistic__C': 1000.0, 'logistic__penalty': 'l2'}",0.1047547732120903,0.06544757523526076,0.11627902261554476,0.07980742428552663,0.10681745715442345,0.09462125050056917,0.01892642389828463,5,0.1235448460648882,0.12451422875553383,0.1252410259334188,0.1204715435791497,0.141539592215437,0.1270622473096855,0.007419059894007605
2,0.012404823303222656,0.0006180121309459064,0.5935999393463135,0.022102329337893595,428.13323987193957,l1,"{'logistic__C': 428.13323987193957, 'logistic__penalty': 'l1'}",0.1047547732120903,0.06544757523526076,0.11627902261554476,0.07980742428552663,0.10681745715442345,0.09462125050056917,0.01892642389828463,5,0.1235448460648882,0.12451422875553383,0.1252410259334188,0.1204715435791497,0.1419348813390078,0.12714130513439967,0.007573410398310463
3,0.007822847366333008,0.0005713779239810696,0.5800445079803467,0.007561776328953257,428.13323987193957,l2,"{'logistic__C': 428.13323987193957, 'logistic__penalty': 'l2'}",0.1047547732120903,0.06544757523526076,0.11627902261554476,0.07980742428552663,0.10681745715442345,0.09462125050056917,0.01892642389828463,5,0.1235448460648882,0.12451422875553383,0.1252410259334188,0.1204715435791497,0.141539592215437,0.1270622473096855,0.007419059894007605
4,0.011561822891235352,0.00041701789240602136,0.5979648113250733,0.017959990481218054,183.29807108324357,l1,"{'logistic__C': 183.29807108324357, 'logistic__penalty': 'l1'}",0.1047547732120903,0.06544757523526076,0.11627902261554476,0.07980742428552663,0.10681745715442345,0.09462125050056917,0.01892642389828463,5,0.1235448460648882,0.1249286534711294,0.1252410259334188,0.1204715435791497,0.141539592215437,0.1271451322528046,0.007392397758521991
5,0.007852840423583984,0.0002848092263341928,0.6326554775238037,0.055018566788745255,183.29807108324357,l2,"{'logistic__C': 183.29807108324357, 'logistic__penalty': 'l2'}",0.1047547732120903,0.06544757523526076,0.11627902261554476,0.07980742428552663,0.10681745715442345,0.09462125050056917,0.01892642389828463,5,0.1235448460648882,0.12451422875553383,0.1252410259334188,0.1204715435791497,0.141539592215437,0.1270622473096855,0.007419059894007605
6,0.02142782211303711,0.019327588595384367,0.5916374683380127,0.028415289194702185,78.47599703514615,l1,"{'logistic__C': 78.47599703514615, 'logistic__penalty': 'l1'}",0.1047547732120903,0.06544757523526076,0.11627902261554476,0.07980742428552663,0.10681745715442345,0.09462125050056917,0.01892642389828463,5,0.1235448460648882,0.12451422875553383,0.1252410259334188,0.1204715435791497,0.141539592215437,0.1270622473096855,0.007419059894007605
7,0.008600854873657226,0.0006828066452641249,0.6080912113189697,0.020753725468810238,78.47599703514615,l2,"{'logistic__C': 78.47599703514615, 'logistic__penalty': 'l2'}",0.1047547732120903,0.06544757523526076,0.11627902261554476,0.07980742428552663,0.10681745715442345,0.09462125050056917,0.01892642389828463,5,0.1235448460648882,0.12451422875553383,0.1252410259334188,0.1204715435791497,0.141539592215437,0.1270622473096855,0.007419059894007605
8,0.02593827247619629,0.011371164240481178,0.608458423614502,0.029729864397470863,33.59818286283783,l1,"{'logistic__C': 33.59818286283783, 'logistic__penalty': 'l1'}",0.1047547732120903,0.06544757523526076,0.11627902261554476,0.07980742428552663,0.10681745715442345,0.09462125050056917,0.01892642389828463,5,0.12396243890565667,0.12369648222853273,0.12524868010569912,0.1204715435791497,0.141539592215437,0.12698374740689505,0.0074461573007379685
9,0.008329296112060547,0.0004676615185915971,0.6078670978546142,0.05117301658083931,33.59818286283783,l2,"{'logistic__C': 33.59818286283783, 'logistic__penalty': 'l2'}",0.1047547732120903,0.06544757523526076,0.11627902261554476,0.07980742428552663,0.10681745715442345,0.09462125050056917,0.01892642389828463,5,0.1235448460648882,0.12451422875553383,0.1252410259334188,0.1204715435791497,0.141539592215437,0.1270622473096855,0.007419059894007605
