,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.01623053550720215,0.008721576923444859,0.0028264522552490234,0.0004812965015357877,1.2742749857031322e-06,{'ridge__alpha': 1.2742749857031322e-06},0.0858486972291109,0.0252134902851826,0.050364213374153435,0.05660813237259507,0.05124903186328505,0.05385671302486541,0.019341608648287354,5,0.09848375375626595,0.11018220328534767,0.1088050354870331,0.10593599587020179,0.11397056700487648,0.107475511080745,0.0051865475252962775
1,0.010274648666381836,0.0006488365281277667,0.00296173095703125,7.500431751240648e-05,0.07847599703514607,{'ridge__alpha': 0.07847599703514607},0.08585267388279359,0.025220418929255688,0.05036539238812026,0.05659323196390678,0.05125311114620753,0.05385696566205676,0.019340297044606332,3,0.09848486169540295,0.110178709991694,0.10880610066918624,0.10593389350163122,0.11396659038484172,0.10747403124855123,0.005184982424617546
2,0.01047053337097168,0.00039776355839498973,0.0035946846008300783,0.0005743292542979417,1.623776739188721e-05,{'ridge__alpha': 1.623776739188721e-05},0.0858486972291109,0.0252134902851826,0.050364213374153435,0.05660813237259507,0.05124903186328505,0.05385671302486541,0.019341608648287354,5,0.09848375375626595,0.11018220328534767,0.1088050354870331,0.10593599587020179,0.11397056700487648,0.107475511080745,0.0051865475252962775
3,0.009304237365722657,0.00045570582535125695,0.0031242847442626955,0.0007378163060401285,0.0004832930238571752,{'ridge__alpha': 0.0004832930238571752},0.0858487497311399,0.0252134902851826,0.050364213374153435,0.0566068678591281,0.05125065937642014,0.053856796125204845,0.019341546176753217,4,0.09848408917437176,0.11018235007657282,0.10880515961414124,0.10593581993355025,0.11397053311362795,0.1074755903824528,0.005186454867730876
4,0.00979785919189453,0.0006927496142321853,0.003044414520263672,0.0004449773079472494,5.455594781168515e-07,{'ridge__alpha': 5.455594781168515e-07},0.0858486972291109,0.0252134902851826,0.050364213374153435,0.05660813237259507,0.05124903186328505,0.05385671302486541,0.019341608648287354,5,0.09848375375626595,0.11018220328534767,0.1088050354870331,0.10593599587020179,0.11397056700487648,0.107475511080745,0.0051865475252962775
5,0.008994770050048829,0.0007416689565964837,0.002842092514038086,0.00049117487734375,0.01438449888287663,{'ridge__alpha': 0.01438449888287663},0.08585026328963324,0.025216062838675855,0.05036417662371809,0.05661269242115928,0.0512591246947408,0.05386046397358546,0.0193412240014057,1,0.09848418756618285,0.11018023423680672,0.10880536754345388,0.10593554995229545,0.11396886201257145,0.10747484026226206,0.005185808103986554
6,0.009758758544921874,0.0006933692773805283,0.0027256011962890625,0.00038850320267067994,2.976351441631319e-06,{'ridge__alpha': 2.976351441631319e-06},0.0858486972291109,0.0252134902851826,0.050364213374153435,0.05660813237259507,0.05124903186328505,0.05385671302486541,0.019341608648287354,5,0.09848375375626595,0.11018220328534767,0.1088050354870331,0.10593599587020179,0.11397056700487648,0.107475511080745,0.0051865475252962775
7,0.00978851318359375,0.0006858950228987126,0.0029374122619628905,2.107307359074985e-05,0.18329807108324336,{'ridge__alpha': 0.18329807108324336},0.08586725669636446,0.025220010170756032,0.05036708290814648,0.05657904406280664,0.05125358815005726,0.05385739639762617,0.0193447694114456,2,0.09847853647071741,0.1101765145218485,0.10880287287217913,0.10593419739753797,0.1139715917815423,0.10747274260876505,0.005188015710593406
8,0.009858131408691406,0.0005181660413167884,0.0029317855834960936,1.4013172412405156e-05,3.792690190732254e-05,{'ridge__alpha': 3.792690190732254e-05},0.0858486972291109,0.0252134902851826,0.050364213374153435,0.05660813237259507,0.05124903186328505,0.05385671302486541,0.019341608648287354,5,0.09848375375626595,0.11018220328534767,0.10880501293977518,0.10593599587020179,0.11397056700487648,0.10747550657129341,0.0051865463693469855
9,0.009688329696655274,0.000852874830817859,0.0036239147186279295,0.0008545960954942417,2.3357214690901212e-07,{'ridge__alpha': 2.3357214690901212e-07},0.0858486972291109,0.0252134902851826,0.050364213374153435,0.05660813237259507,0.05124903186328505,0.05385671302486541,0.019341608648287354,5,0.09848375375626595,0.11018220328534767,0.1088050354870331,0.10593599587020179,0.11397056700487648,0.107475511080745,0.0051865475252962775
