,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__num__smoother__kw_args,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.00819101333618164,0.002331654402977727,0.004336118698120117,0.0005375733203976454,{'span': 6},1e-07,"{'preprocessor__num__smoother__kw_args': {'span': 6}, 'ridge__alpha': 1e-07}",0.08687257522256964,0.08094659697975076,0.0503990317662625,0.06334319250218919,0.04511250920370042,0.0653347811348945,0.016392612266996807,15,0.19824570531110863,0.1670536426340434,0.16911375659914515,0.14047820923465967,0.19264046665498574,0.17350635608678852,0.020639479222726218
1,0.008093833923339844,0.002055904805154895,0.004475259780883789,0.0007616119249442195,{'span': 6},2.3357214690901212e-07,"{'preprocessor__num__smoother__kw_args': {'span': 6}, 'ridge__alpha': 2.3357214690901212e-07}",0.08687257522256964,0.08094659697975076,0.0503990317662625,0.06334319250218919,0.04511250920370042,0.0653347811348945,0.016392612266996807,15,0.19824570531110863,0.1670536426340434,0.1691113235527599,0.14047820923465967,0.19264046665498574,0.17350586947751148,0.020639582808085626
2,0.007021522521972657,0.0006583761044364355,0.0040073394775390625,0.000781674122682187,{'span': 6},5.455594781168515e-07,"{'preprocessor__num__smoother__kw_args': {'span': 6}, 'ridge__alpha': 5.455594781168515e-07}",0.08687257522256964,0.08094659697975076,0.0503990317662625,0.06334319250218919,0.04511250920370042,0.0653347811348945,0.016392612266996807,15,0.19824570531110863,0.1670536426340434,0.1691113235527599,0.14047820923465967,0.19264046665498574,0.17350586947751148,0.020639582808085626
3,0.007134294509887696,0.0003802429261109073,0.003694629669189453,0.0007367375533459258,{'span': 6},1.2742749857031322e-06,"{'preprocessor__num__smoother__kw_args': {'span': 6}, 'ridge__alpha': 1.2742749857031322e-06}",0.08687257522256964,0.08094659697975076,0.0503990317662625,0.06334151604705408,0.04511250920370042,0.06533444584386748,0.01639265301619511,18,0.19824570531110863,0.1670536426340434,0.1691113235527599,0.14047820923465967,0.19264046665498574,0.17350586947751148,0.020639582808085626
4,0.006844186782836914,0.0005112717654154659,0.0037651538848876955,0.0006528604140739595,{'span': 6},2.976351441631319e-06,"{'preprocessor__num__smoother__kw_args': {'span': 6}, 'ridge__alpha': 2.976351441631319e-06}",0.08687257522256964,0.08094644646043715,0.050398896818405994,0.06334151604705408,0.04511250920370042,0.06533438875043344,0.016392648936124434,19,0.19824398154719108,0.16705578617489727,0.16911028403294182,0.14047820923465967,0.19264046665498574,0.17350574552893513,0.020639079848519638
5,0.007698488235473633,0.0006267708643099985,0.004779338836669922,0.0009688757871021764,{'span': 6},6.951927961775606e-06,"{'preprocessor__num__smoother__kw_args': {'span': 6}, 'ridge__alpha': 6.951927961775606e-06}",0.08687257522256964,0.08094644646043715,0.05039631464307471,0.06334151604705408,0.04511190194316656,0.06533375086326042,0.016393269306232944,20,0.19824398154719108,0.16705578617489727,0.16911028403294182,0.14048048026591722,0.19264046665498574,0.17350619973518663,0.020638353015487186
6,0.006920528411865234,0.0003640810613905045,0.0034879207611083984,0.00047900687585538667,{'span': 6},1.623776739188721e-05,"{'preprocessor__num__smoother__kw_args': {'span': 6}, 'ridge__alpha': 1.623776739188721e-05}",0.0868704030710125,0.08094644646043715,0.0503979482906838,0.06333861987997862,0.04511275314596616,0.06533323416961564,0.016392261257088172,21,0.1982432678213239,0.16706029226077898,0.16911181106205414,0.1404817777837757,0.19264046665498574,0.17350752311658368,0.020637419991382782
7,0.00790410041809082,0.0012138493681548561,0.004307603836059571,0.000807411037034635,{'span': 6},3.792690190732254e-05,"{'preprocessor__num__smoother__kw_args': {'span': 6}, 'ridge__alpha': 3.792690190732254e-05}",0.08687101942226078,0.08095049491094136,0.05039813514156205,0.06334238671376899,0.04511442700513,0.06533529263873264,0.016392655826253478,13,0.19824267519695765,0.16706060051665406,0.16911709116271753,0.14047797823148023,0.19263842363082506,0.1735073537477269,0.020637871217011106
8,0.007181644439697266,0.00037964051487105805,0.005010986328125,0.0009610052227211257,{'span': 6},8.858667904100833e-05,"{'preprocessor__num__smoother__kw_args': {'span': 6}, 'ridge__alpha': 8.858667904100833e-05}",0.08686381914209917,0.08095552043940378,0.05039169916686699,0.06333967480105046,0.04511447112234827,0.06533303693435374,0.01639294997072789,22,0.19823813904392804,0.1670625205532481,0.16911403035436423,0.14047831648613585,0.19263916163955272,0.1735064336154458,0.020636822808340453
9,0.006822395324707031,0.0005463933493403205,0.004193019866943359,0.00038125083723021194,{'span': 6},0.0002069138081114788,"{'preprocessor__num__smoother__kw_args': {'span': 6}, 'ridge__alpha': 0.0002069138081114788}",0.08685942293572188,0.08095439024697136,0.05040320866193657,0.06334616133295472,0.045111733259684934,0.06533498328745388,0.016390000145567733,14,0.19822967482200116,0.1670598497523452,0.16910769573359674,0.1404801345111584,0.1926467907297739,0.17350482910977508,0.02063606398678
10,0.007883167266845703,0.0005570687442452752,0.004389476776123047,0.00042765880027396383,{'span': 6},0.0004832930238571752,"{'preprocessor__num__smoother__kw_args': {'span': 6}, 'ridge__alpha': 0.0004832930238571752}",0.0868639437099304,0.08095268392889027,0.05039648073274427,0.06335921095315097,0.04511992868176152,0.06533844960129549,0.016389750563853077,12,0.19822566558933202,0.16706175028856762,0.1690840342824988,0.14047678946511855,0.19265576083585384,0.17350080009227414,0.020638730365171117
